r,Un
-0.4678362573099416, 0.6369230769230769
-0.44152046783625737, 0.78
-0.40935672514619886, 0.8353846153846155
-0.3830409356725146, 0.8446153846153847
-0.34502923976608185, 0.8123076923076924
-0.30116959064327486, 0.7430769230769232
-0.26608187134502925, 0.7015384615384616
-0.22514619883040937, 0.6507692307692309
-0.1871345029239766, 0.6461538461538462
-0.14912280701754388, 0.6923076923076924
-0.11111111111111105, 0.7984615384615386
-0.07602339181286544, 0.9230769230769231
-0.0350877192982455, 1.0107692307692309
0.0029239766081871066, 1.056923076923077
0.040935672514619936, 1.08
0.08187134502923987, 1.103076923076923
0.1228070175438597, 1.1400000000000001
0.16081871345029242, 1.1723076923076923
0.20175438596491224, 1.153846153846154
0.23684210526315796, 1.1446153846153846
0.2748538011695908, 1.153846153846154
0.3099415204678364, 1.1446153846153846
0.35087719298245634, 1.1446153846153846
0.38596491228070184, 1.1353846153846154
0.41812865497076035, 1.1261538461538463
0.44736842105263164, 1.1123076923076924
0.47660818713450315, 1.0753846153846154
